/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 2, col 1, 'ExportingTest' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 2, col 17, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 4, col 1, 'ExportingTest' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 6, col 14, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 6, col 44, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 9, col 1, 'ExportingTest' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 10, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 12, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 13, col 5, 'assertNotNull' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 27, col 21, 'Highcharts' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 33, col 17, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 36, col 17, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 43, col 1, 'ExportingTest' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 44, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 46, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 47, col 5, 'assertNotNull' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 53, col 21, 'Highcharts' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 59, col 17, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 59, col 54, 'Highcharts' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 62, col 17, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/it/ExportingTest.js: line 62, col 53, 'Highcharts' is not defined.

21 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/BarChartMemoryTest.js: line 2, col 26, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/BarChartMemoryTest.js: line 4, col 36, 'ChartMemoryTest' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/SplineChartMemoryTest.js: line 2, col 29, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/SplineChartMemoryTest.js: line 4, col 39, 'ChartMemoryTest' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 2, col 23, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 19, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 21, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 22, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 25, col 31, 'ElementMonitor' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 25, col 46, 'hasSVG' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 25, col 55, 'SVGElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 25, col 68, 'VMLElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 27, col 16, 'merge' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 29, col 22, 'Chart' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 30, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 101, col 13, 'jstestdriver' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 103, col 9, 'assertTrue' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ChartMemoryTest.js: line 107, col 5, 'assertNotUndefined' is not defined.
