/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 23, col 37, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 35, col 68, Script URL.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 42, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 50, col 68, Script URL.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 58, col 33, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 70, col 13, Creating global 'for' variable. Should be 'for (var dlg ...'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 96, col 56, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 170, col 13, Creating global 'for' variable. Should be 'for (var dlg ...'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 15, col 9, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 20, col 9, 'obj' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 21, col 13, 'obj' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 24, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 38, col 42, '__' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 41, col 9, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 41, col 61, '__' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 42, col 9, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 43, col 9, 'main_layout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 48, col 9, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 50, col 9, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 51, col 30, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 52, col 9, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 53, col 9, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 53, col 42, '__' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 54, col 9, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 59, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 66, col 9, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 71, col 17, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 72, col 34, 'dlg' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 78, col 19, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 90, col 21, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 91, col 21, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 92, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 95, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 96, col 21, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 97, col 21, 'main_layout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 98, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 99, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 100, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 118, col 13, 'iframe' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 118, col 22, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 119, col 21, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 120, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 124, col 22, 'iframe' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 128, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 129, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 130, col 17, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 131, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 134, col 9, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 144, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 145, col 13, '$' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/taskbar.js: line 145, col 13, Too many errors. (81% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/mysql.js: line 24, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/mysql.js: line 12, col 13, 'db_mysql' is defined but never used.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 52, col 26, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 56, col 73, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 187, col 19, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 220, col 30, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 224, col 19, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 286, col 19, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 291, col 16, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 343, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 344, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 354, col 18, Wrap the /regexp/ literal in parens to disambiguate the slash operator.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 356, col 19, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 357, col 20, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 425, col 18, 'n' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 451, col 22, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 533, col 14, 'up' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 546, col 38, Missing 'new' prefix when invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 548, col 28, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 566, col 20, 'text' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 577, col 16, Value of 'e' may be overwritten in IE 8 and earlier.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 621, col 16, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 632, col 16, Bad line breaking before '||'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 680, col 45, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 739, col 106, Don't make functions within a loop.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 765, col 19, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 765, col 33, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 765, col 56, Use '===' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 778, col 26, 'added' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 778, col 34, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 778, col 41, 'e' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 788, col 19, 'added' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 791, col 20, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 791, col 27, 'e' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 824, col 20, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 841, col 30, A leading decimal point can be confused with a dot: '.99'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 850, col 23, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 989, col 20, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1007, col 32, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1008, col 31, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1032, col 47, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1051, col 46, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1125, col 82, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1174, col 48, 'curNode' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1174, col 72, 'j' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1180, col 29, 'lineElement' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1188, col 32, 'lineElement' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1208, col 52, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1209, col 25, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1224, col 22, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1267, col 71, A leading decimal point can be confused with a dot: '.5'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1293, col 19, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/codemirror2.js: line 1293, col 19, Too many errors. (37% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sqlite.js: line 25, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sqlite.js: line 12, col 14, 'db_sqlite' is defined but never used.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/json2.js: line 8, col 16, Read only.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/json2.js: line 24, col 169, eval can be harmful.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/texteditor.js: line 30, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/texteditor.js: line 34, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/texteditor.js: line 44, col 2, Missing semicolon.
