/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 82, col 35, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 100, col 39, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 147, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 95, col 39, 'args' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 114, col 38, 'item' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 129, col 39, 'item' is defined but never used.

7 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 29, col 21, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 29, col 45, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 78, col 19, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 82, col 21, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 98, col 38, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 19, col 29, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 20, col 28, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 83, col 9, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 86, col 19, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 108, col 7, 'alert' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 173, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.remotemodel.js: line 174, col 4, 'jQuery' is not defined.

12 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 94, col 48, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 104, col 23, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 14, col 24, 'Slick' is not defined.
