3     #167 Expected '  v_texcoord = vec2(u, uv.y + 0.5);
3     #166 Stopping. (13% scanned).
22     #12 Expected an assignment or function call and instead saw an expression.
1     #211 Don't declare variables in a loop.
2     #352 Unused 'HEADERS'.
758     #12 Expected '#_fileName with unescaped quote' at column 5, not column 3.
21     #303 Unexpected space between '[object Array]' and ')'.
5     #169 Stopping. (46% scanned).
3     #51 Expected 'content-type: text/html
1     #305 Unexpected '0755'.
4     #47 Stopping. (47% scanned).
14     #109 Expected '  float lifeTime = uvLifeTimeFrameStart.z;
3     #239 Expected '  rotatedPoint = localMatrix * rotatedPoint;
4     #46 Unused 'resp'.
6     #39 Unused 'msg'.
2     #11 Missing space between '<input type="file" name="upload" multiple="multiple"><br>' and '+'.
260     #410 Unexpected space between 'form-data; name="field1"' and ','.
1     #31 Stopping. (25% scanned).
425     #10 'self' was used before it was defined.
5      #1 'test' is already defined.
2     #17 Missing space between '<form action="/upload" enctype="multipart/form-data" method="post">' and '+'.
35      #8 Unexpected assignment expression.
1     #73 Stopping. (41% scanned).
4     #226 Stopping. (42% scanned).
28     #417 Missing 'new'.
5     #23 Stopping. (50% scanned).
2     #353 Stopping. (63% scanned).
3     #132 Stopping. (33% scanned).
4     #333 Stopping. (15% scanned).
1     #17 Stopping. (97% scanned).
1     #23 Unused 'namespaces'.
3     #122 Stopping. (8% scanned).
3      #2 'hemi' used out of scope.
5905      #2 Use spaces, not tabs.
1     #200 Unused 'done'.
2     #15 Stopping. (2% scanned).
2     #17 Unused 'clientElements'.
3     #14 Expected 'content-disposition: form-data; name="pics"; filename="file1.txt"
2     #137 Stopping. (7% scanned).
2     #34 Unexpected '|'.
109     #174 Unexpected '++'.
9      #4 Expected '--AaB03x
2     #22 Expected '--AaB03x--
34     #28 Unexpected character '(space)'.
4     #135 Expected '  if (startTime < 0.0) {
1     #271 Stopping. (66% scanned).
5     #13 Insecure '.'.
17     #32 Unnecessary 'else' after disruption.
1     #49 Expected '#_uploadPath strips harmful characters from extension when keepExtensions' at column 5, not column 3.
2     #22 Unused 'prefix'.
2     #286 Unexpected 'in'. Compare with undefined, or use the hasOwnProperty method instead.
2     #18 Stopping. (27% scanned).
2     #663 Unused 'uploadDir'.
16     #11 Insecure '^'.
2     #74 Unused 'mouseEvent'.
54     #632 Move 'var' declarations to the top of the function.
327      #6 Expected '<form action="/post" method="post">' at column 13, not column 7.
1     #211 Unused 'err'.
3     #50 Expected '--frontier
1     #424 Duplicate 'ldquo'.
250     #167 Unexpected space between '(' and 'equals'.
1     #31 Unexpected 'util'.
1     #64 Stopping. (91% scanned).
6     #17 Missing space between 'Content-Type: text/plain
2     #40 Stopping. (4% scanned).
2     #25 Wrap an immediate function invocation in parentheses to assist the reader in understanding that the expression is the result of a function, and not the function itself.
6     #162 Unexpected '--'.
3     #100 Stopping. (52% scanned).
1     #236 Unused 'files'.
1     #199 Unused 'bouncer'.
2     #61 Stopping. (62% scanned).
66      #6 Stopping. (0% scanned).
4     #35 Stopping. (28% scanned).
2     #30 Unused 'v'.
17     #53 Expected '<html><body>Oh hi.</body></html>' at column 21, not column 11.
1     #46 Unexpected 'Light'.
2     #291 Stopping. (32% scanned).
2      #6 Expected 'content-disposition: form-data; name="field1"
3     #16 Expected 'Content-Type: text/plain
1     #70 Stopping. (85% scanned).
1     #95 Stopping. (21% scanned).
1     #152 Reserved name '__proto__'.
2     #676 Stopping. (76% scanned).
8     #93 Expected 'varying vec4 v_position;
1     #638 Unused 'field'.
2     #24 Stopping. (17% scanned).
1     #44 Unused 'node'.
1      #5 Unused 'version'.
3     #280 Stopping. (37% scanned).
100      #5 Unexpected character '	'.
1     #33 Stopping. (77% scanned).
2     #19 Stopping. (5% scanned).
1     #21 Stopping. (75% scanned).
